date,Airline,flight no,site,origin,origin airport,dest airport,destination,ac type,route codes,total aboard,total fatalities,ground registration
4/17/2018,Southwest Airlines,WN1380,"39.952778,-75.163611","40.777,-73.872",LGA,DAL,"32.847,-96.852",Boeing 737-7H4,LGA-DAL,149,1,N722SW
7/16/2022,Meridian,MRM3032,"40.966667,24.2","43.337, 21.853",INI,DAC,"23.843,90.398",Antonov AN-12,INI-DAC,8,8,UR-CIC
5/5/2017,Air Cargo Carriers,2Q1260,"38.375833,-81.593056","38.174,-85.736",SDF,CRW,"38.373, -81.593",Shorts 300-200,SDF-CRW,2,2,N334AC
8/7/2020,Air India Exppress,IX1344,"11.133056,75.970278","25.255,55.364",DXB,CCJ,"11.136,75.955",Boeing 737-8HG,DXB-CCJ,190,20,VT-AXH
3/22/2022,China Eastern Airlines,MU5735,"23.324167,111.111944","24.992,102.743",KMG,CAN,"23.184,113.266",Boeing 737-89P WL,KMG-CAN,132,132,B-1791
5/19/2016,Egyptair,MS804,"34.1325,4.763611","49.013,2.55",CDG,CAI,"30.122,31.406",Airbus A320-232,CDG-CAI,66,66,SU-GCC
12/20/2016,Aerosucre Colombia,6C157,"6.187333,-67.577778","6.184,-67.493",PCR,BOG,"4.701,-74.147",Boeing 727-2JOF,PCR-BOG,6,5,HK-4544
11/6/2022,Precision Air,PW494,"-1.335278,31.825833","-6.878,39.203",DAR,BKZ," -1.330, 31.819",ATR 42-500,DAR-BKZ,43,19,5H-PWF
4/29/2016,CHC Helikopter Service,HKS241,"60.452222,4.096944","60.293,5.218",BGO,BGO,"60.293,5.218",Eurocopter EC225LP Super Puma M2+,BGO-BGO,13,13,LN-OJF
2/2/2016,Daallo Airlines,D3159,"2.039167,45.341944","-13.254,-64.063",MGQ,JIB,"11.547, 43.159",Airbus A321-111,MGQ-AII,72,1,SX-BHS
